cust_id,bike,date_removed,station_removed,date_arrived,station_arrived,action
43,1,2010-02-15 20:44:00,17,2010-02-15 20:44:00,17,C  
43,2,2010-02-15 20:44:00,17,2010-02-15 20:45:00,17,C  
43,1,2010-02-15 20:45:00,17,2010-02-15 20:45:00,17,C  
43,2,2010-02-15 20:45:00,17,2010-02-15 20:45:00,17,C  
43,1,2010-02-15 20:45:00,17,2010-02-15 20:46:00,17,C  
43,2,2010-02-15 20:46:00,17,2010-02-15 20:46:00,17,C  
43,1,2010-02-15 20:46:00,17,2010-02-15 20:47:00,17,C  
43,2,2010-02-15 20:47:00,17,2010-02-15 20:47:00,17,C  
43,1,2010-02-15 20:48:00,17,2010-02-15 20:48:00,17,C  
115,44,2010-02-15 21:34:00,85,2010-02-15 21:35:00,85,A  
115,42,2010-02-15 21:36:00,85,2010-02-15 21:36:00,85,A  
91,49,2010-02-15 21:49:00,85,2010-02-15 21:50:00,85,A  
91,69,2010-02-16 12:42:00,85,2010-02-16 12:45:00,85,A  
37,11,2010-02-16 12:53:00,85,2010-02-16 13:22:00,26,A  
70,43,2010-02-16 13:21:00,85,2010-02-16 13:49:00,13,A  
70,826,2010-02-16 14:06:00,22,2010-02-16 14:23:00,85,A  
203,662,2010-02-16 15:31:00,27,2010-02-16 16:29:00,74,A  
37,69,2010-02-16 15:44:00,76,2010-02-17 21:58:00,7,A  
258,8,2010-02-16 16:31:00,85,2010-02-16 16:49:00,20,A  
257,5,2010-02-16 16:33:00,85,2010-02-16 16:49:00,20,A  
258,607,2010-02-16 17:03:00,20,2010-02-17 12:40:00,25,A  
249,690,2010-02-16 17:04:00,85,2010-02-16 17:05:00,85,C  
266,680,2010-02-16 17:06:00,20,2010-02-16 17:22:00,25,A  
249,618,2010-02-16 17:30:00,20,2010-02-16 17:48:00,17,A  
223,812,2010-02-16 18:10:00,49,2010-02-16 18:16:00,72,A  
223,711,2010-02-16 18:27:00,66,2010-02-16 18:34:00,49,A  
73,36,2010-02-16 19:08:00,85,2010-02-16 19:09:00,85,A  
238,651,2010-02-16 21:32:00,15,2010-02-16 21:40:00,25,A  
238,578,2010-02-16 22:40:00,25,2010-02-16 22:46:00,6,A  
238,578,2010-02-16 22:57:00,6,2010-02-16 23:06:00,8,A  
302,442,2010-02-17 11:55:00,85,2010-02-17 11:56:00,85,C  
257,575,2010-02-17 12:39:00,25,2010-02-17 12:40:00,25,C  
257,576,2010-02-17 12:53:00,25,2010-02-17 12:55:00,25,C  
470,690,2010-02-17 13:15:00,85,2010-02-17 13:15:00,85,A  
468,36,2010-02-17 13:16:00,85,2010-02-17 13:16:00,85,A  
468,658,2010-02-17 13:31:00,20,2010-02-17 13:32:00,20,A  
468,615,2010-02-17 13:33:00,20,2010-02-17 13:36:00,20,A  
468,613,2010-02-17 13:38:00,20,2010-02-17 13:40:00,20,A  
470,612,2010-02-17 13:40:00,20,2010-02-17 13:41:00,20,A  
468,717,2010-02-17 13:42:00,20,2010-02-17 13:43:00,20,A  
468,0611-BAJAR,2010-02-17 13:43:00,20,2010-02-17 13:43:00,20,A  
470,591,2010-02-17 13:44:00,20,2010-02-17 13:44:00,20,A  
468,629,2010-02-17 13:46:00,20,2010-02-17 13:47:00,20,A  
470,8,2010-02-17 14:01:00,20,2010-02-17 14:09:00,20,A  
468,5,2010-02-17 14:09:00,20,2010-02-17 14:26:00,20,A  
486,826,2010-02-17 14:13:00,85,2010-02-17 14:13:00,85,A  
470,658,2010-02-17 14:27:00,20,2010-02-17 14:37:00,20,A  
468,615,2010-02-17 14:36:00,20,2010-02-17 14:42:00,20,A  
470,165,2010-02-17 14:48:00,20,2010-02-17 14:55:00,20,A  
470,8,2010-02-17 15:14:00,20,2010-02-17 18:01:00,85,A  
468,629,2010-02-17 15:15:00,20,2010-02-17 15:47:00,85,A  
468,29,2010-02-17 15:57:00,85,2010-02-17 16:02:00,85,A  
519,442,2010-02-17 15:59:00,85,2010-02-17 16:10:00,17,A  
521,630,2010-02-17 16:21:00,19,2010-02-17 16:24:00,17,A  
521,424,2010-02-17 16:28:00,17,2010-02-17 16:32:00,13,A  
238,605,2010-02-17 16:32:00,23,2010-02-17 16:36:00,26,A  
521,81,2010-02-17 17:26:00,45,2010-02-17 17:32:00,83,A  
238,656,2010-02-17 17:28:00,26,2010-02-17 17:33:00,27,A  
238,815,2010-02-17 18:22:00,27,2010-02-17 18:33:00,23,A  
238,606,2010-02-17 18:44:00,23,2010-02-17 18:59:00,46,A  
238,609,2010-02-17 19:28:00,46,2010-02-17 19:57:00,74,A  
238,662,2010-02-17 20:09:00,74,2010-02-17 20:10:00,74,C  
238,567,2010-02-17 20:10:00,74,2010-02-17 20:32:00,5,A  
266,458,2010-02-17 20:46:00,75,2010-02-17 20:47:00,75,C  
266,457,2010-02-17 20:47:00,75,2010-02-17 20:47:00,75,C  
266,459,2010-02-17 20:47:00,75,2010-02-17 20:48:00,75,C  
238,567,2010-02-17 20:54:00,5,2010-02-17 21:01:00,5,A  
486,922,2010-02-18 08:00:00,34,2010-02-18 08:07:00,20,A  
266,448,2010-02-18 11:24:00,74,2010-02-18 11:31:00,80,A  
643,36,2010-02-18 13:18:00,85,2010-02-18 15:03:00,15,A  
649,826,2010-02-18 13:30:00,85,2010-02-18 13:35:00,5,A  
659,432,2010-02-18 14:14:00,85,2010-02-19 04:33:00,18,A  
249,39,2010-02-18 14:42:00,6,2010-02-18 14:50:00,31,A  
486,707,2010-02-18 15:04:00,20,2010-02-18 19:56:00,34,A  
521,539,2010-02-18 15:25:00,18,2010-02-18 15:30:00,13,A  
521,676,2010-02-18 15:30:00,13,2010-02-18 15:31:00,13,C  
223,513,2010-02-18 15:31:00,50,2010-02-18 15:48:00,79,A  
643,523,2010-02-18 15:55:00,85,2010-02-18 15:58:00,85,A  
643,547,2010-02-18 15:58:00,85,2010-02-18 15:59:00,85,C  
223,694,2010-02-18 15:58:00,72,2010-02-18 16:02:00,78,A  
643,433,2010-02-18 16:00:00,85,2010-02-18 16:22:00,50,A  
693,444,2010-02-18 16:04:00,85,2010-02-18 20:24:00,49,A  
521,135,2010-02-18 16:05:00,37,2010-02-18 16:14:00,83,A  
223,347,2010-02-18 16:26:00,78,2010-02-18 16:33:00,50,A  
643,860,2010-02-18 16:41:00,44,2010-02-20 03:35:00,76,A  
520,468,2010-02-18 17:16:00,85,2010-02-18 17:30:00,13,A  
238,633,2010-02-18 17:36:00,22,2010-02-18 17:46:00,27,A  
723,629,2010-02-18 17:47:00,85,2010-02-18 17:48:00,85,A  
615,828,2010-02-18 18:03:00,21,2010-02-18 18:17:00,19,A  
466,879,2010-02-18 18:12:00,19,2010-02-18 18:19:00,31,A  
238,93,2010-02-18 18:17:00,30,2010-02-18 18:29:00,46,A  
615,657,2010-02-18 18:37:00,27,2010-02-18 19:11:00,55,A  
347,394,2010-02-18 19:05:00,17,2010-02-18 19:11:00,34,A  
519,567,2010-02-18 19:09:00,5,2010-02-18 19:26:00,34,A  
238,610,2010-02-18 19:20:00,46,2010-02-18 19:34:00,46,A  
238,788,2010-02-18 19:47:00,45,2010-02-18 20:03:00,30,A  
238,313,2010-02-18 20:13:00,30,2010-02-18 20:22:00,8,A  
693,652,2010-02-18 20:38:00,49,2010-02-18 21:00:00,60,A  
81,81,2010-02-18 21:55:00,83,2010-02-18 22:02:00,78,A  
353,449,2010-02-18 22:09:00,17,2010-02-18 22:16:00,20,A  
347,15,2010-02-19 09:28:00,34,2010-02-19 09:34:00,17,A  
811,29,2010-02-19 09:49:00,85,2010-02-19 10:15:00,18,A  
353,428,2010-02-19 10:03:00,20,2010-02-19 10:09:00,17,A  
811,925,2010-02-19 10:45:00,63,2010-02-19 11:07:00,74,A  
839,8,2010-02-19 11:11:00,85,2010-02-19 11:31:00,27,A  
723,578,2010-02-19 11:34:00,8,2010-02-19 11:52:00,16,A  
849,480,2010-02-19 11:48:00,85,2010-02-19 12:05:00,34,A  
519,554,2010-02-19 13:05:00,5,2010-02-19 13:35:00,74,A  
249,56,2010-02-19 13:05:00,5,2010-02-19 13:35:00,74,A  
877,629,2010-02-19 13:08:00,85,2010-02-19 13:21:00,18,A  
43,51,2010-02-19 13:13:00,34,2010-02-19 13:14:00,34,C  
891,445,2010-02-19 13:34:00,85,2010-02-19 13:56:00,79,A  
547,694,2010-02-19 13:40:00,78,2010-02-19 13:52:00,63,A  
70,681,2010-02-19 13:40:00,60,2010-02-19 14:10:00,85,A  
900,690,2010-02-19 14:00:00,85,2010-02-19 14:12:00,16,A  
896,523,2010-02-19 14:00:00,85,2010-02-19 14:12:00,16,A  
891,175,2010-02-19 14:09:00,79,2010-02-19 14:09:00,79,C  
891,265,2010-02-19 14:09:00,79,2010-02-19 14:10:00,79,C  
905,547,2010-02-19 14:19:00,85,2010-02-19 14:20:00,85,C  
